Lake,Region,Tier,Prospect,Type,Contact,Source,Notes,Status
Lake Minnetonka,Twin Cities Metro,1,Daniel Gustafson (Lake Minnetonka Real Estate),Agent,,lakeminnetonkarealestate.com,Bay-by-bay luxury specialist,Prospect
Lake Minnetonka,Twin Cities Metro,1,Ellen DeHaven,Agent,,ellendehaven.com,40 yrs; Wayzata lakeshore specialist,Prospect
Lake Minnetonka,Twin Cities Metro,1,David Gooden (LUXE),Agent,,davegooden.com,Upper-bracket waterfront,Prospect
Lake Minnetonka,Twin Cities Metro,1,Nick Leyendecker (Leyendecker Luxury),Agent,952-222-7653,leyendeckerluxury.com,24+ yrs; Wayzata luxury,Prospect
Lake Minnetonka,Twin Cities Metro,1,Beth Ulrich (Ulrich Real Estate),Agent,,ulrichrealestategroup.com,Excelsior/Wayzata; $100M+ sold,Prospect
Gull Lake,Brainerd Lakes,1,Chad Schwendeman (Brainerd Lake Home Info),Agent,218-831-4663,brainerdlakehomeinfo.com,Award-winning Gull Lake specialist,Prospect
Gull Lake,Brainerd Lakes,1,Watters Edge Realty Group,Brokerage,,watters-edge.com,Nisswa/Gull Lake chain,Prospect
Gull Lake,Brainerd Lakes,1,Positive Realty,Brokerage,,positiverealty.com,Brainerd/Gull/Nisswa,Prospect
Gull Lake,Brainerd Lakes,1,Larson Group Real Estate,Brokerage,,larsongrouprealestate.com,Est. 1984; Nisswa/Gull/Crosslake,Prospect
Whitefish Chain,Brainerd Lakes,1,Larson Group Real Estate,Brokerage,,larsongrouprealestate.com,Longest-operating on the Chain,Prospect
Whitefish Chain,Brainerd Lakes,1,Whitefish Property Finder,Brokerage,,whitefishpropertyfinder.com,Boutique Crosslake; 15+ yrs,Prospect
Whitefish Chain,Brainerd Lakes,1,Watters Edge Realty Group,Brokerage,,watters-edge.com,Crosslake/Whitefish luxury,Prospect
Whitefish Chain,Brainerd Lakes,1,Dane Arthur (LakePlace.com Crosslake),Brokerage,,danearthur.com,Crosslake office,Prospect
Mille Lacs Lake,Central Lakes,1,Karson Frokjer,Agent,612-414-1528,twincitieslakehome.com,Mille Lacs lake homes specialist,Prospect
Mille Lacs Lake,Central Lakes,1,Sandelands Realty,Brokerage,,sandelandsrealty.com,Family brokerage; Mille Lacs area,Prospect
Mille Lacs Lake,Central Lakes,1,MN Real Estate & Management,Brokerage,,mnreandm.com,Mille Lacs lakefront,Prospect
Mille Lacs Lake,Central Lakes,1,Woods to Water Realty,Brokerage,,woodstowatermn.com,Mille Lacs real estate,Prospect
Lake Vermilion,Iron Range / Arrowhead,1,Lake Vermilion Realty,Brokerage,,lakevermilionrealty.com,Tower/Cook/Ely/Babbitt specialist,Prospect
Lake Vermilion,Iron Range / Arrowhead,1,B.I.C. Realty (Chessica Reichert),Agent,,mn.bicrealty.com,20+ yrs; Tower office; resort owner,Prospect
Lake Vermilion,Iron Range / Arrowhead,1,Vermilion Land Office,Brokerage,218-753-8985,vermilionland.com,Tower main office,Prospect
Lake Vermilion,Iron Range / Arrowhead,1,RE/MAX Lake Country,Brokerage,218-757-3233,thelakecountry.com,Vermilion + northern MN,Prospect
Leech Lake,Brainerd Lakes,1,Bill Hansen Realty,Brokerage,,billhansenrealty.com,Walker/Longville/Hackensack; 20+ yr agents,Prospect
Leech Lake,Brainerd Lakes,1,Joe Arndt (Cedar Point Realty),Agent,,leechlakecabins.com,Full-time Walker broker; ~20 yrs,Prospect
Leech Lake,Brainerd Lakes,1,Heather Hauser,Agent,,leechlakewalkermn.com,Walker/Leech Lake specialist,Prospect
Leech Lake,Brainerd Lakes,1,Watters Edge Realty Group,Brokerage,,watters-edge.com,Walker/Leech Lake,Prospect
Lake of the Woods,Border Waters,1,Reed Realty (Gregg Hennum),Agent,,reedrealtymn.com,Baudette; waterfront & island property,Prospect
Lake of the Woods,Border Waters,1,Carlson Realty Services,Brokerage,,carlsonrealtyservices.com,Locally owned; Baudette,Prospect
Lake of the Woods,Border Waters,1,Pahlen Realty,Brokerage,,,Baudette; LOW waterfront,Prospect
Lake of the Woods,Border Waters,1,Dane Arthur Real Estate,Brokerage,,danearthur.com,LOW County listings,Prospect
Rainy Lake,Border Waters,1,Move It Real Estate Group,Brokerage,,rainylake.com,Agents Barry Woods / Julie Schumacher / Cari Rostie,Prospect
Rainy Lake,Border Waters,1,RE/MAX Lake Country,Brokerage,218-757-3233,thelakecountry.com,International Falls / Rainy,Prospect
Rainy Lake,Border Waters,1,Reed Realty,Brokerage,,reedrealtymn.com,International Falls area,Prospect
Detroit Lake,Lakes Country,1,Jack Chivers Realty,Brokerage,,jackchiversrealty.com,#1 volume Detroit Lakes/Perham; est. 1980,Prospect
Detroit Lake,Lakes Country,1,Counselor Realty,Brokerage,,counselordl.com,Detroit Lakes market,Prospect
Detroit Lake,Lakes Country,1,Dane Arthur Real Estate,Brokerage,,danearthur.com,Detroit Lakes office,Prospect
Detroit Lake,Lakes Country,1,Beyond Realty,Brokerage,,beyondrealtyfm.com,Detroit Lakes / FM area,Prospect
Lake Sallie,Lakes Country,1,Jack Chivers Realty,Brokerage,,jackchiversrealty.com,Same Becker County market as Detroit Lakes,Prospect
Lake Sallie,Lakes Country,1,Counselor Realty,Brokerage,,counselordl.com,Detroit Lakes area (Pelican River chain),Prospect
Lake Melissa,Lakes Country,1,Jack Chivers Realty,Brokerage,,jackchiversrealty.com,Same Becker County market,Prospect
Lake Melissa,Lakes Country,1,Dane Arthur Real Estate,Brokerage,,danearthur.com,Detroit Lakes area,Prospect
Otter Tail Lake,Lakes Country,1,Stephen Sweere (Lakes Area Listing Agent),Agent,,lakesarealistingagent.com,Otter Tail Lake / Perham specialist,Prospect
Otter Tail Lake,Lakes Country,1,Boll Realty,Brokerage,,bollrealty.com,East shore of Otter Tail Lake; shoreline specialist,Prospect
Otter Tail Lake,Lakes Country,1,Kris Lindahl Real Estate,Brokerage,855-967-7653,krislindahl.com,Otter Tail County,Prospect
Lake Bemidji,Northern MN,2,Mona Carter (Crystal Lakes Real Estate),Agent,,crystallakesmn.com,24 yrs; Bemidji/Park Rapids lake homes,Prospect
Lake Bemidji,Northern MN,2,The Antonov Group (eXp Realty),Agent,612-445-4981,theantonovgroup.com,Bemidji lakefront,Prospect
Lake Bemidji,Northern MN,2,Lake-N-Woods Realty,Brokerage,,lakenwoods.com,Bemidji lakeshore & land,Prospect
Lake Bemidji,Northern MN,2,Realty Experts LLC,Brokerage,218-444-1021,realtyexpertsbemidji.com,Bemidji lake homes & lots,Prospect
Lake Pepin,Southeast MN,2,Featherstone Real Estate,Brokerage,651-345-7577,featherstonelakecity.com,Lake City marina; 25+ yrs,Prospect
Lake Pepin,Southeast MN,2,Karson Frokjer,Agent,612-414-1528,twincitieslakehome.com,Also covers Lake Pepin,Prospect
Lake Pepin,Southeast MN,2,Lakeshore Real Estate (Krage & Associates),Brokerage,,,Lake City / Lake Pepin,Prospect
Lake Carlos,Alexandria Lakes,2,Craig Mische (AlexMN.com),Agent,,alexmn.com,Lakefront since 2002; CRS/GRI/RSPS,Prospect
Lake Carlos,Alexandria Lakes,2,Real Estate by Jo,Brokerage,,realestatebyjo.com,Alexandria/Carlos/Osakis,Prospect
Lake Carlos,Alexandria Lakes,2,Alex Brokers Realty,Brokerage,,alexbrokersrealty.com,Alexandria lakes,Prospect
Lake Le Homme Dieu,Alexandria Lakes,2,Craig Mische (AlexMN.com),Agent,,alexmn.com,In-demand Le Homme Dieu specialist,Prospect
Lake Le Homme Dieu,Alexandria Lakes,2,Real Estate by Jo,Brokerage,,realestatebyjo.com,Alexandria chain,Prospect
Lake Osakis,Alexandria Lakes,2,Craig Mische (AlexMN.com),Agent,,alexmn.com,Alexandria chain,Prospect
Lake Osakis,Alexandria Lakes,2,Real Estate by Jo,Brokerage,,realestatebyjo.com,Serves Osakis,Prospect
Lake Miltona,Alexandria Lakes,2,Craig Mische (AlexMN.com),Agent,,alexmn.com,Alexandria chain,Prospect
Lake Miltona,Alexandria Lakes,2,Alex Brokers Realty,Brokerage,,alexbrokersrealty.com,Alexandria lakes,Prospect
Pokegama Lake,Northern Lakes,2,Century 21 Land of Lakes,Brokerage,218-326-0323,c21lakes.com,Grand Rapids; all Itasca County,Prospect
Pokegama Lake,Northern Lakes,2,Coldwell Banker Northwoods,Brokerage,,coldwellbankernorthwoods.com,Since 1947; Itasca/Aitkin/Cass,Prospect
Pokegama Lake,Northern Lakes,2,Luke Garner,Agent,,lukegarner.com,Lives on Pokegama,Prospect
Pokegama Lake,Northern Lakes,2,Edge of the Wilderness Realty,Brokerage,,eowrealty.com,Pokegama lakefront specialist,Prospect
